Aileron;Elevator;Rudder;Throttle;Roll;Pitch;Yaw;Altitude
0,00085355;0,009073246;0,002167871;0,89549172;-4,2727504;2,2146995;196,5849;2654,1836
0,000853788;0,031614639;0,002171109;0,89549893;-4,286119;2,2077446;196,53314;2654,2161
0,000853805;0,052812822;0,002171514;0,89549983;-4,2882795;2,2010241;196,4823;2654,2476
0,000853822;0,065888889;0,002171564;0,8955;-4,2729907;2,194603;196,43149;2654,2798
0,000853822;0,088108055;0,002171577;0,8955;-4,2360244;2,1886158;196,38054;2654,3118
0,001976616;0,10568385;0,002171577;0,8955;-4,1750374;2,1832576;196,32948;2654,3442
0,004094498;0,11607297;0,002171577;0,8955;-4,0884509;2,1791003;196,27852;2654,3767
0,006151891;0,12282039;0,002171577;0,8955;-3,9777582;2,1765454;196,22719;2654,4094
0,006744389;0,12458815;0,002171577;0,8955;-3,8463883;2,176017;196,17587;2654,4421
0,006819733;0,12480974;0,002171577;0,8955;-3,7004917;2,1774852;196,12532;2654,4746
0,006829162;0,10673283;0,002171577;0,8955;-3,5480623;2,1807063;196,07571;2654,5068
0,00683035;0,087621458;0,002171577;0,8955;-3,3966656;2,1854675;196,02661;2654,5393
0,006830485;0,074953057;0,002171577;0,8955;-3,2540126;2,1915045;195,97865;2654,5713
0,005002522;0,065000579;0,000624916;0,89212495;-3,1222332;2,1985099;195,93207;2654,6033
0,005665751;0,065305777;0,00123099;0,8933906;-3,0014632;2,2060356;195,8867;2654,6355
0,006680975;0,061767004;0,002058968;0,89523631;-2,8890133;2,2142713;195,84283;2654,6672
0,006811766;0,057151936;0,002157581;0,89546704;-2,7846627;2,2233429;195,80037;2654,6995
0,006828178;0,047775555;0,002169819;0,89549583;-2,69133;2,2329888;195,76016;2654,7314
0,008838684;0,027144957;0,002171349;0,89549947;-2,6105766;2,243217;195,72217;2654,7634
0,009456543;0,011447413;0,000624887;0,89212489;-2,5465956;2,2545059;195,68571;2654,7959
0,002258686;0,006722685;0,000133141;0,89114058;-2,5013356;2,2664046;195,65089;2654,8293
0,00094824;0,006098853;0,001173394;0,89326757;-2,4736521;2,2769735;195,61923;2654,8625
0,000865434;0,00661613;0,002052356;0,89522094;-2,4587674;2,2863202;195,59015;2654,8955
0,000855264;0,006676861;0,002156758;0,89546514;-2,4537385;2,2943356;195,56432;2654,9285
0,000853991;0,006684392;0,002169718;0,89549565;-2,4560225;2,3011813;195,54152;2654,9617
0,000853839;0,006685332;0,002171337;0,89549947;-2,4638367;2,3069618;195,52174;2654,9946
0,000853822;0,00668545;0,002171539;0,89549994;-2,475668;2,3117275;195,50513;2655,0273
0,000853822;0,00668546;0,00116514;0,89324999;-2,4904692;2,3156176;195,49147;2655,0601
0,000783656;0,005880535;0,000204465;0,89128125;-2,5077884;2,3187733;195,48048;2655,0933
0,000723939;0,005078261;7,94E-05;0,89103514;-2,5272503;2,3212023;195,47229;2655,1267
0,000716598;0,004972077;6,37E-05;0,89100438;-2,5485191;2,3229828;195,46684;2655,1602
0,000836223;0,006497855;0,001929842;0,89493799;-2,5708187;2,32423;195,46416;2655,1938
0,000851617;0,006662475;0,002141723;0,89542973;-2,5932701;2,3250477;195,46422;2655,2275
0,000853533;0,006682599;0,002167846;0,89549118;-2,6158428;2,3255343;195,467;2655,261
0,000853788;0,006685107;0,002171109;0,89549887;-2,6383333;2,325772;195,4724;2655,2949
0,000853805;0,00668542;0,002171514;0,89549983;-2,6603715;2,3258333;195,48022;2655,3286
